"region","party","Year=2006"
"0114 Upplands Väsby","Moderaterna",34.5
"0114 Upplands Väsby","Centerpartiet",4.0
"0114 Upplands Väsby","Folkpartiet",9.0
"0114 Upplands Väsby","Kristdemokraterna",6.3
"0114 Upplands Väsby","Miljöpartiet",5.2
"0114 Upplands Väsby","Socialdemokraterna",30.6
"0114 Upplands Väsby","Vänsterpartiet",5.8
"0114 Upplands Väsby","Sverigedemokraterna",2.5
"0114 Upplands Väsby","övriga partier",2.1
"0114 Upplands Väsby","ogiltiga valsedlar",..
"0114 Upplands Väsby","ej röstande",..
"0115 Vallentuna","Moderaterna",42.1
"0115 Vallentuna","Centerpartiet",7.5
"0115 Vallentuna","Folkpartiet",8.8
"0115 Vallentuna","Kristdemokraterna",7.1
"0115 Vallentuna","Miljöpartiet",6.1
"0115 Vallentuna","Socialdemokraterna",20.9
"0115 Vallentuna","Vänsterpartiet",3.4
"0115 Vallentuna","Sverigedemokraterna",1.8
"0115 Vallentuna","övriga partier",2.3
"0115 Vallentuna","ogiltiga valsedlar",..
"0115 Vallentuna","ej röstande",..
"0117 Österåker","Moderaterna",42.3
"0117 Österåker","Centerpartiet",5.6
"0117 Österåker","Folkpartiet",9.3
"0117 Österåker","Kristdemokraterna",7.3
"0117 Österåker","Miljöpartiet",5.6
"0117 Österåker","Socialdemokraterna",22.8
"0117 Österåker","Vänsterpartiet",3.6
"0117 Österåker","Sverigedemokraterna",1.8
"0117 Österåker","övriga partier",1.7
"0117 Österåker","ogiltiga valsedlar",..
"0117 Österåker","ej röstande",..
"0120 Värmdö","Moderaterna",42.9
"0120 Värmdö","Centerpartiet",5.5
"0120 Värmdö","Folkpartiet",8.4
"0120 Värmdö","Kristdemokraterna",6.2
"0120 Värmdö","Miljöpartiet",6.4
"0120 Värmdö","Socialdemokraterna",22.4
"0120 Värmdö","Vänsterpartiet",4.3
"0120 Värmdö","Sverigedemokraterna",2.1
"0120 Värmdö","övriga partier",1.8
"0120 Värmdö","ogiltiga valsedlar",..
"0120 Värmdö","ej röstande",..
"0123 Järfälla","Moderaterna",34.1
"0123 Järfälla","Centerpartiet",4.1
"0123 Järfälla","Folkpartiet",9.5
"0123 Järfälla","Kristdemokraterna",6.8
"0123 Järfälla","Miljöpartiet",5.5
"0123 Järfälla","Socialdemokraterna",30.1
"0123 Järfälla","Vänsterpartiet",5.6
"0123 Järfälla","Sverigedemokraterna",2.2
"0123 Järfälla","övriga partier",2.1
