"region","inkomstslag","kön","ålder","inkomstklass","2002","2006","2010"
"0360 Tierp","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.1,222.6,248.2
"0360 Tierp","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,20.5,28.2
"0380 Uppsala","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",225.6,248.0,273.8
"0380 Uppsala","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,18.6,21.4
"0381 Enköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",218.8,243.1,274.5
"0381 Enköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.9,21.4,23.8
"0382 Östhammar","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",219.3,244.2,270.0
"0382 Östhammar","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.4,23.0,28.1
"0428 Vingåker","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.8,224.0,249.8
"0428 Vingåker","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,24.8,27.7
"0461 Gnesta","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",215.9,241.1,269.3
"0461 Gnesta","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",28.2,23.0,30.6
"0480 Nyköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",220.0,247.9,275.8
"0480 Nyköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.5,24.0,27.5
"0481 Oxelösund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",226.7,249.9,282.3
"0481 Oxelösund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.6,26.5,27.3
"0482 Flen","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",203.5,228.7,248.7
"0482 Flen","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.9,26.0,26.1
"0483 Katrineholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.2,229.3,254.6
"0483 Katrineholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,24.2,27.4
"0484 Eskilstuna","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.1,232.7,254.8
"0484 Eskilstuna","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,23.8,25.1
"0486 Strängnäs","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",233.8,261.9,295.5
"0486 Strängnäs","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.1,24.0,28.9
"0488 Trosa","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",240.8,271.8,304.4
"0488 Trosa","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.2,23.7,28.7
"0509 Ödeshög","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",190.3,216.6,239.7
"0509 Ödeshög","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,26.0,27.3
"0512 Ydre","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.6,220.5,251.9
"0512 Ydre","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.2,24.8,25.6
"0513 Kinda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",196.8,226.2,253.3
"0513 Kinda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.3,23.0,27.1
"0560 Boxholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.7,228.3,254.3
"0560 Boxholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.9,16.6,17.7
"0561 Åtvidaberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.4,229.1,254.1
"0561 Åtvidaberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.9,21.2,24.6
"0562 Finspång","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.9,242.2,277.5
"0562 Finspång","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.6,23.4,24.2
"0563 Valdemarsvik","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.3,213.6,241.4
"0563 Valdemarsvik","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.4,20.8,27.5
"0580 Linköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",224.4,246.7,275.2
"0580 Linköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,19.2,21.9
"0581 Norrköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.8,232.7,261.4
"0581 Norrköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.4,22.9,26.1
"0582 Söderköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.0,238.5,269.2
"0582 Söderköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,26.3,28.0
"0583 Motala","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.8,231.0,256.1
"0583 Motala","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.4,21.8,23.0
"0584 Vadstena","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.2,234.8,264.6
"0584 Vadstena","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.2,18.6,21.8
"0586 Mjölby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.1,231.3,259.6
"0586 Mjölby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.6,20.6,24.0
"0604 Aneby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.6,228.9,254.1
"0604 Aneby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,25.6,24.8
"0617 Gnosjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",223.7,252.3,264.1
"0617 Gnosjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",28.8,28.1,30.2
"0642 Mullsjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.9,233.1,258.4
"0642 Mullsjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.0,22.9,24.9
"0643 Habo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",219.3,246.5,278.8
"0643 Habo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.6,28.5,29.5
"0662 Gislaved","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",223.0,241.9,262.5
"0662 Gislaved","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.6,29.5,26.6
"0665 Vaggeryd","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.3,239.5,261.1
"0665 Vaggeryd","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",28.2,32.3,31.4
"0680 Jönköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.9,243.8,269.6
"0680 Jönköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.6,23.8,27.4
"0682 Nässjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.0,235.4,257.1
"0682 Nässjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,26.8,25.5
"0683 Värnamo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",223.5,250.3,273.1
"0683 Värnamo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.2,30.2,30.5
"0684 Sävsjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.7,224.5,247.2
"0684 Sävsjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.0,24.2,24.4
"0685 Vetlanda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.4,237.1,261.6
"0685 Vetlanda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.1,25.8,28.1
"0686 Eksjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.9,241.3,268.7
"0686 Eksjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,22.4,28.0
"0687 Tranås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.5,229.3,256.5
"0687 Tranås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.4,20.1,22.5
"0760 Uppvidinge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.7,229.3,255.7
"0760 Uppvidinge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.5,26.8,24.5
"0761 Lessebo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.7,233.4,250.9
"0761 Lessebo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,23.2,23.7
"0763 Tingsryd","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.7,225.2,249.9
"0763 Tingsryd","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.3,24.9,28.3
"0764 Alvesta","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.0,234.6,258.9
"0764 Alvesta","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.1,27.9,27.3
"0765 Älmhult","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",221.2,265.6,291.8
"0765 Älmhult","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,26.0,22.6
"0767 Markaryd","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",200.1,226.5,244.7
"0767 Markaryd","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.5,26.0,24.5
"0780 Växjö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",215.0,240.9,267.0
"0780 Växjö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.2,24.4,23.8
"0781 Ljungby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.3,239.2,261.1
"0781 Ljungby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.2,29.4,29.3
"0821 Högsby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.0,212.0,235.4
"0821 Högsby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.6,21.0,22.9
"0834 Torsås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.5,221.7,242.9
"0834 Torsås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.5,22.2,25.6
"0840 Mörbylånga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.9,230.4,261.9
"0840 Mörbylånga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.9,27.6,28.2
"0860 Hultsfred","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.5,215.0,239.5
"0860 Hultsfred","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,21.5,28.8
"0861 Mönsterås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.7,233.9,261.9
"0861 Mönsterås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,24.1,27.9
"0862 Emmaboda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.4,239.9,263.9
"0862 Emmaboda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.0,24.7,27.7
"0880 Kalmar","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.1,232.7,259.7
"0880 Kalmar","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.8,21.5,26.5
"0881 Nybro","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",203.0,225.0,242.8
"0881 Nybro","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,22.3,26.4
"0882 Oskarshamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",221.9,248.3,283.5
"0882 Oskarshamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.9,28.0,29.6
"0883 Västervik","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.2,227.4,253.6
"0883 Västervik","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.0,20.5,21.1
"0884 Vimmerby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.7,228.8,251.7
"0884 Vimmerby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.3,21.9,25.4
"0885 Borgholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",180.7,203.7,231.0
"0885 Borgholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.7,25.1,28.4
"0980 Gotland","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",190.0,212.7,240.2
"0980 Gotland","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.4,21.7,27.4
"1060 Olofström","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",216.9,240.9,255.2
"1060 Olofström","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,25.1,23.1
"1080 Karlskrona","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.5,247.1,273.2
"1080 Karlskrona","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.4,23.1,26.1
"1081 Ronneby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.7,232.6,256.3
"1081 Ronneby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.0,24.9,24.3
"1082 Karlshamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.7,239.5,265.7
"1082 Karlshamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,20.8,24.7
"1083 Sölvesborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.8,229.0,253.4
"1083 Sölvesborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,21.4,24.8
"1214 Svalöv","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.5,226.2,253.1
"1214 Svalöv","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,26.1,22.5
"1230 Staffanstorp","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",243.1,276.3,309.2
"1230 Staffanstorp","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.3,21.6,22.7
"1231 Burlöv","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.7,236.0,260.6
"1231 Burlöv","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.3,23.5,28.3
"1233 Vellinge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",273.5,312.6,349.5
"1233 Vellinge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.7,19.4,21.3
"1256 Östra Göinge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.1,229.5,247.5
"1256 Östra Göinge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.2,26.6,28.1
"1257 Örkelljunga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.0,221.2,241.0
"1257 Örkelljunga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.8,31.2,30.4
"1260 Bjuv","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",203.0,225.1,248.6
"1260 Bjuv","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,26.5,25.5
"1261 Kävlinge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",236.0,268.0,306.5
"1261 Kävlinge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.9,23.4,23.8
"1262 Lomma","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",280.4,331.5,385.5
"1262 Lomma","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",15.7,19.6,22.3
"1263 Svedala","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",230.5,256.9,292.8
"1263 Svedala","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,22.4,26.4
"1264 Skurup","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.8,234.4,261.7
"1264 Skurup","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.8,22.1,26.1
