"region","inkomstslag","kön","ålder","inkomstklass","2002","2006","2010"
"1383 Varberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.6,240.6,272.3
"1383 Varberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.9,25.5,27.6
"1384 Kungsbacka","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",256.6,294.1,329.5
"1384 Kungsbacka","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.2,23.8,25.9
"1401 Härryda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",253.7,287.4,321.7
"1401 Härryda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.0,23.6,24.3
"1402 Partille","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",248.7,280.1,310.3
"1402 Partille","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.4,23.6,23.2
"1407 Öckerö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",231.2,265.3,300.4
"1407 Öckerö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.5,24.7,25.2
"1415 Stenungsund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",235.5,266.4,301.5
"1415 Stenungsund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,23.9,27.7
"1419 Tjörn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",231.4,262.3,295.5
"1419 Tjörn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.2,25.8,27.1
"1421 Orust","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",214.6,242.6,269.2
"1421 Orust","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.8,24.5,27.5
"1427 Sotenäs","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.3,237.4,271.3
"1427 Sotenäs","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.5,25.9,29.7
"1430 Munkedal","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.1,226.0,242.6
"1430 Munkedal","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",29.7,28.5,31.6
"1435 Tanum","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.4,224.2,246.3
"1435 Tanum","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",28.5,28.5,34.8
"1438 Dals-Ed","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.6,212.7,230.3
"1438 Dals-Ed","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.2,21.8,32.2
"1439 Färgelanda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.3,222.0,242.9
"1439 Färgelanda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.7,24.4,29.1
"1440 Ale","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.5,248.9,279.0
"1440 Ale","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.3,22.2,21.9
"1441 Lerum","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",249.2,279.6,310.1
"1441 Lerum","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.7,23.9,24.8
"1442 Vårgårda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.2,232.1,253.2
"1442 Vårgårda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.3,27.9,30.4
"1443 Bollebygd","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",229.9,257.0,287.3
"1443 Bollebygd","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.5,26.6,28.6
"1444 Grästorp","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.0,232.0,251.3
"1444 Grästorp","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.2,27.7,22.0
"1445 Essunga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.3,226.0,244.6
"1445 Essunga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.3,24.0,22.3
"1446 Karlsborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.5,234.1,267.7
"1446 Karlsborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.9,24.3,23.7
"1447 Gullspång","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.2,213.7,235.8
"1447 Gullspång","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.7,24.9,26.4
"1452 Tranemo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.9,237.9,261.2
"1452 Tranemo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.0,31.7,30.5
"1460 Bengtsfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.0,220.7,240.0
"1460 Bengtsfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.7,21.3,29.8
"1461 Mellerud","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.6,214.3,229.2
"1461 Mellerud","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.1,21.1,27.5
"1462 Lilla Edet","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.4,235.4,259.4
"1462 Lilla Edet","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.4,29.0,32.3
"1463 Mark","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.8,231.9,258.5
"1463 Mark","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.7,26.6,30.7
"1465 Svenljunga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.8,226.5,246.7
"1465 Svenljunga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.7,28.2,31.5
"1466 Herrljunga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.7,229.8,252.1
"1466 Herrljunga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.1,29.1,32.1
"1470 Vara","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.3,221.2,246.2
"1470 Vara","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,26.2,28.2
"1471 Götene","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.8,234.4,259.7
"1471 Götene","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.8,25.7,27.3
"1472 Tibro","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.0,227.0,248.1
"1472 Tibro","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.5,21.6,23.5
"1473 Töreboda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.3,209.8,234.3
"1473 Töreboda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,20.4,23.6
"1480 Göteborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",226.1,253.7,277.6
"1480 Göteborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,23.8,25.0
"1481 Mölndal","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",248.5,277.4,309.6
"1481 Mölndal","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.5,24.8,26.0
"1482 Kungälv","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",237.2,266.2,298.3
"1482 Kungälv","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.9,26.0,27.9
"1484 Lysekil","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.4,239.6,268.0
"1484 Lysekil","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,24.7,28.3
"1485 Uddevalla","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.6,238.6,263.4
"1485 Uddevalla","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,23.7,26.4
"1486 Strömstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.0,233.2,260.8
"1486 Strömstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",35.4,33.9,46.4
"1487 Vänersborg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",220.6,245.2,267.3
"1487 Vänersborg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.6,26.7,25.1
"1488 Trollhättan","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",228.2,249.4,268.7
"1488 Trollhättan","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.6,25.5,23.3
"1489 Alingsås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.1,247.4,274.1
"1489 Alingsås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.5,23.4,22.7
"1490 Borås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.8,237.2,263.8
"1490 Borås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.3,26.1,29.2
"1491 Ulricehamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.7,233.1,258.4
"1491 Ulricehamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.3,26.3,28.4
"1492 Åmål","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.8,231.6,244.6
"1492 Åmål","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,17.9,19.2
"1493 Mariestad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.0,230.7,255.1
"1493 Mariestad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.8,24.8,29.4
"1494 Lidköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.3,242.4,270.3
"1494 Lidköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.0,23.8,25.9
"1495 Skara","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.3,234.3,260.0
"1495 Skara","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.1,28.5,25.2
"1496 Skövde","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",215.2,241.1,267.8
"1496 Skövde","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.0,24.4,26.5
"1497 Hjo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.5,230.1,255.0
"1497 Hjo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.7,21.0,27.7
"1498 Tidaholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",200.3,226.9,245.8
"1498 Tidaholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.8,23.0,24.1
"1499 Falköping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.0,230.7,253.3
"1499 Falköping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.1,24.9,28.3
"1715 Kil","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.4,232.5,259.2
"1715 Kil","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.2,19.1,20.0
"1730 Eda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.2,219.7,243.0
"1730 Eda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",26.4,31.7,34.0
"1737 Torsby","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.3,217.4,245.7
"1737 Torsby","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",16.2,16.7,20.1
"1760 Storfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",208.6,233.1,248.4
"1760 Storfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,24.1,22.9
"1761 Hammarö","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",242.7,273.6,309.6
"1761 Hammarö","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,16.5,17.5
"1762 Munkfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.0,220.6,239.6
"1762 Munkfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.8,19.3,22.2
"1763 Forshaga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.9,228.9,254.5
"1763 Forshaga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.5,17.8,19.6
"1764 Grums","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.0,235.0,256.1
"1764 Grums","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.7,23.7,22.9
"1765 Årjäng","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",188.4,216.0,235.3
"1765 Årjäng","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",28.8,30.1,35.3
"1766 Sunne","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.8,221.7,246.0
"1766 Sunne","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.3,17.8,21.3
"1780 Karlstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.7,239.1,265.0
"1780 Karlstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",16.7,18.6,19.4
"1781 Kristinehamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.0,231.6,252.8
"1781 Kristinehamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,20.6,21.6
"1782 Filipstad","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.0,216.5,238.2
"1782 Filipstad","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.1,21.7,24.6
"1783 Hagfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.0,226.1,247.4
"1783 Hagfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,18.5,23.9
"1784 Arvika","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.9,224.8,249.2
"1784 Arvika","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,26.3,30.4
"1785 Säffle","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",203.3,224.7,246.2
"1785 Säffle","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,23.4,24.5
"1814 Lekeberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.9,226.0,256.7
"1814 Lekeberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",27.1,22.5,26.2
"1860 Laxå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.2,231.4,256.9
"1860 Laxå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.6,22.3,22.5
"1861 Hallsberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.3,232.6,256.8
"1861 Hallsberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.5,18.8,21.8
"1862 Degerfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",216.5,237.0,257.5
"1862 Degerfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,24.3,26.5
"1863 Hällefors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.0,221.8,235.2
"1863 Hällefors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.2,26.1,28.5
"1864 Ljusnarsberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.7,211.3,234.6
"1864 Ljusnarsberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.9,20.3,25.8
"1880 Örebro","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.7,235.5,261.7
"1880 Örebro","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.3,20.3,21.0
"1881 Kumla","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.3,236.1,264.3
"1881 Kumla","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.9,21.4,23.6
"1882 Askersund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.5,231.8,260.9
"1882 Askersund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.4,23.9,28.5
"1883 Karlskoga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",224.1,249.6,271.8
"1883 Karlskoga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.0,23.6,25.5
"1884 Nora","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.5,238.5,265.8
"1884 Nora","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.0,19.2,23.5
"1885 Lindesberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.0,234.8,257.9
"1885 Lindesberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.1,22.6,25.7
"1904 Skinnskatteberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.6,223.7,244.3
"1904 Skinnskatteberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.0,22.5,25.6
"1907 Surahammar","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",221.7,242.0,267.3
"1907 Surahammar","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.6,28.7,26.1
"1960 Kungsör","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",213.2,240.2,261.6
"1960 Kungsör","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.5,25.7,21.1
"1961 Hallstahammar","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.8,235.4,257.9
"1961 Hallstahammar","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.8,24.8,26.3
"1962 Norberg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.4,232.7,259.2
"1962 Norberg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.1,25.0,29.7
"1980 Västerås","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",229.2,254.0,286.7
"1980 Västerås","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.8,22.5,25.6
"1981 Sala","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.8,222.9,251.4
"1981 Sala","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.7,21.9,28.2
"1982 Fagersta","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.8,249.0,266.7
"1982 Fagersta","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.9,25.5,27.4
"1983 Köping","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.9,238.1,259.8
"1983 Köping","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.6,23.9,23.5
"1984 Arboga","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",210.7,233.9,257.0
"1984 Arboga","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,20.5,24.3
"2021 Vansbro","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.0,212.1,232.0
"2021 Vansbro","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.5,20.7,22.9
"2023 Malung-Sälen","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",194.1,217.3,241.3
"2023 Malung-Sälen","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.7,24.8,26.2
"2026 Gagnef","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",206.5,230.2,258.6
"2026 Gagnef","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.6,20.3,23.4
"2029 Leksand","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.1,231.2,261.6
"2029 Leksand","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.4,23.4,27.1
"2031 Rättvik","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",191.3,215.0,243.4
"2031 Rättvik","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.4,24.5,26.8
"2034 Orsa","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.1,212.4,232.8
"2034 Orsa","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",16.8,17.8,21.8
"2039 Älvdalen","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.5,208.5,235.2
"2039 Älvdalen","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.7,20.7,23.3
"2061 Smedjebacken","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",212.6,240.9,268.6
"2061 Smedjebacken","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.1,20.9,24.6
"2062 Mora","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.4,231.3,255.1
"2062 Mora","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.4,21.7,23.6
"2080 Falun","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.0,244.9,273.9
"2080 Falun","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,21.9,24.3
"2081 Borlänge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",211.5,239.6,263.0
"2081 Borlänge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.7,23.7,29.2
"2082 Säter","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.9,231.8,262.5
"2082 Säter","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,22.3,25.1
"2083 Hedemora","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.8,227.2,252.4
"2083 Hedemora","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.0,23.9,25.0
"2084 Avesta","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.7,243.4,267.6
"2084 Avesta","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.2,23.6,25.3
"2085 Ludvika","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",214.2,239.2,269.9
"2085 Ludvika","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.3,24.6,26.6
"2101 Ockelbo","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.7,227.6,250.7
"2101 Ockelbo","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.5,25.8,26.7
"2104 Hofors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",217.6,245.9,265.3
"2104 Hofors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.6,26.8,26.4
"2121 Ovanåker","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.2,222.1,244.0
"2121 Ovanåker","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.6,22.0,22.9
"2132 Nordanstig","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",195.7,216.1,238.0
"2132 Nordanstig","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.5,18.2,27.8
"2161 Ljusdal","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.7,216.0,237.1
"2161 Ljusdal","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.3,21.4,26.1
"2180 Gävle","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",216.3,243.5,277.1
"2180 Gävle","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.8,22.0,23.2
"2181 Sandviken","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",222.5,255.9,274.9
"2181 Sandviken","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.0,26.3,26.6
"2182 Söderhamn","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.0,223.4,249.4
"2182 Söderhamn","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.4,19.1,28.3
"2183 Bollnäs","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",198.1,221.7,246.3
"2183 Bollnäs","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",21.1,19.5,24.0
"2184 Hudiksvall","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",205.5,228.4,256.8
"2184 Hudiksvall","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.6,19.9,23.1
"2260 Ånge","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",204.7,225.7,252.0
"2260 Ånge","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.1,24.4,28.8
"2262 Timrå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",220.9,244.0,262.8
"2262 Timrå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.6,24.8,21.4
"2280 Härnösand","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",207.8,230.5,256.7
"2280 Härnösand","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.5,17.6,21.9
"2281 Sundsvall","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",227.6,254.2,278.9
"2281 Sundsvall","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.6,23.2,25.5
"2282 Kramfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",199.7,223.3,247.1
"2282 Kramfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",23.3,19.0,23.9
"2283 Sollefteå","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",201.9,224.5,247.6
"2283 Sollefteå","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.6,21.7,23.6
"2284 Örnsköldsvik","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",214.4,245.3,274.2
"2284 Örnsköldsvik","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",22.0,21.8,24.3
"2303 Ragunda","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",192.3,223.0,238.3
"2303 Ragunda","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,22.5,26.5
"2305 Bräcke","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.7,217.1,236.9
"2305 Bräcke","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.9,20.6,24.2
"2309 Krokom","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",202.6,226.4,252.8
"2309 Krokom","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.4,20.0,23.5
"2313 Strömsund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",188.1,212.8,237.3
"2313 Strömsund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.9,24.0,25.7
"2321 Åre","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",184.0,213.3,236.7
"2321 Åre","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",14.6,19.8,26.1
"2326 Berg","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",186.7,209.9,229.6
"2326 Berg","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",17.4,22.0,24.4
"2361 Härjedalen","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",189.8,214.5,238.2
"2361 Härjedalen","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",20.7,22.8,23.8
"2380 Östersund","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",209.1,233.4,258.4
"2380 Östersund","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.5,19.6,22.5
"2401 Nordmaling","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",200.2,222.8,252.9
"2401 Nordmaling","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",24.2,24.1,25.0
"2403 Bjurholm","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",191.6,211.6,229.6
"2403 Bjurholm","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",18.4,22.6,20.6
"2404 Vindeln","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",193.5,220.8,243.2
"2404 Vindeln","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",19.2,19.0,25.4
"2409 Robertsfors","inkomst av tjänst","totalt","20-64 år","totalt inkomstklasser",197.8,223.7,245.6
"2409 Robertsfors","inkomst av tjänst","totalt","-19 år","totalt inkomstklasser",25.7,28.1,27.9
