"region","party","Year=2002"
"0162 Danderyd","Sverigedemokraterna",0.5
"0162 Danderyd","övriga partier",0.7
"0162 Danderyd","ogiltiga valsedlar",..
"0162 Danderyd","ej röstande",..
"0163 Sollentuna","Moderaterna",24.5
"0163 Sollentuna","Centerpartiet",2.5
"0163 Sollentuna","Folkpartiet",21.5
"0163 Sollentuna","Kristdemokraterna",9.9
"0163 Sollentuna","Miljöpartiet",4.7
"0163 Sollentuna","Socialdemokraterna",29.2
"0163 Sollentuna","Vänsterpartiet",5.9
"0163 Sollentuna","Sverigedemokraterna",1.0
"0163 Sollentuna","övriga partier",0.6
"0163 Sollentuna","ogiltiga valsedlar",..
"0163 Sollentuna","ej röstande",..
"0180 Stockholm","Moderaterna",21.0
"0180 Stockholm","Centerpartiet",1.8
"0180 Stockholm","Folkpartiet",19.5
"0180 Stockholm","Kristdemokraterna",6.6
"0180 Stockholm","Miljöpartiet",6.8
"0180 Stockholm","Socialdemokraterna",31.4
"0180 Stockholm","Vänsterpartiet",10.9
"0180 Stockholm","Sverigedemokraterna",1.0
"0180 Stockholm","övriga partier",1.0
"0180 Stockholm","ogiltiga valsedlar",..
"0180 Stockholm","ej röstande",..
"0181 Södertälje","Moderaterna",14.5
"0181 Södertälje","Centerpartiet",3.4
"0181 Södertälje","Folkpartiet",12.9
"0181 Södertälje","Kristdemokraterna",9.7
"0181 Södertälje","Miljöpartiet",6.0
"0181 Södertälje","Socialdemokraterna",42.3
"0181 Södertälje","Vänsterpartiet",7.5
"0181 Södertälje","Sverigedemokraterna",0.7
"0181 Södertälje","övriga partier",3.1
"0181 Södertälje","ogiltiga valsedlar",..
"0181 Södertälje","ej röstande",..
"0182 Nacka","Moderaterna",27.4
"0182 Nacka","Centerpartiet",1.7
"0182 Nacka","Folkpartiet",22.0
"0182 Nacka","Kristdemokraterna",7.9
"0182 Nacka","Miljöpartiet",5.4
"0182 Nacka","Socialdemokraterna",26.9
"0182 Nacka","Vänsterpartiet",6.9
"0182 Nacka","Sverigedemokraterna",0.9
"0182 Nacka","övriga partier",0.9
"0182 Nacka","ogiltiga valsedlar",..
"0182 Nacka","ej röstande",..
"0183 Sundbyberg","Moderaterna",19.2
"0183 Sundbyberg","Centerpartiet",2.0
"0183 Sundbyberg","Folkpartiet",17.2
"0183 Sundbyberg","Kristdemokraterna",6.4
"0183 Sundbyberg","Miljöpartiet",5.6
"0183 Sundbyberg","Socialdemokraterna",37.3
"0183 Sundbyberg","Vänsterpartiet",9.7
"0183 Sundbyberg","Sverigedemokraterna",1.5
"0183 Sundbyberg","övriga partier",1.1
"0183 Sundbyberg","ogiltiga valsedlar",..
"0183 Sundbyberg","ej röstande",..
"0184 Solna","Moderaterna",21.8
"0184 Solna","Centerpartiet",1.8
"0184 Solna","Folkpartiet",19.4
"0184 Solna","Kristdemokraterna",6.9
"0184 Solna","Miljöpartiet",5.5
"0184 Solna","Socialdemokraterna",33.3
"0184 Solna","Vänsterpartiet",9.3
"0184 Solna","Sverigedemokraterna",0.9
"0184 Solna","övriga partier",1.1
"0184 Solna","ogiltiga valsedlar",..
"0184 Solna","ej röstande",..
"0186 Lidingö","Moderaterna",36.4
"0186 Lidingö","Centerpartiet",1.8
"0186 Lidingö","Folkpartiet",26.5
"0186 Lidingö","Kristdemokraterna",9.3
"0186 Lidingö","Miljöpartiet",4.1
"0186 Lidingö","Socialdemokraterna",17.0
"0186 Lidingö","Vänsterpartiet",3.5
"0186 Lidingö","Sverigedemokraterna",0.8
"0186 Lidingö","övriga partier",0.5
"0186 Lidingö","ogiltiga valsedlar",..
"0186 Lidingö","ej röstande",..
"0187 Vaxholm","Moderaterna",26.3
"0187 Vaxholm","Centerpartiet",3.6
"0187 Vaxholm","Folkpartiet",23.1
"0187 Vaxholm","Kristdemokraterna",9.7
"0187 Vaxholm","Miljöpartiet",4.9
"0187 Vaxholm","Socialdemokraterna",25.7
"0187 Vaxholm","Vänsterpartiet",5.7
"0187 Vaxholm","Sverigedemokraterna",0.6
"0187 Vaxholm","övriga partier",0.5
"0187 Vaxholm","ogiltiga valsedlar",..
"0187 Vaxholm","ej röstande",..
"0188 Norrtälje","Moderaterna",17.3
"0188 Norrtälje","Centerpartiet",8.6
"0188 Norrtälje","Folkpartiet",13.1
"0188 Norrtälje","Kristdemokraterna",8.3
"0188 Norrtälje","Miljöpartiet",4.6
"0188 Norrtälje","Socialdemokraterna",39.3
"0188 Norrtälje","Vänsterpartiet",6.2
"0188 Norrtälje","Sverigedemokraterna",0.5
"0188 Norrtälje","övriga partier",2.0
"0188 Norrtälje","ogiltiga valsedlar",..
"0188 Norrtälje","ej röstande",..
"0191 Sigtuna","Moderaterna",20.1
"0191 Sigtuna","Centerpartiet",3.7
"0191 Sigtuna","Folkpartiet",15.4
"0191 Sigtuna","Kristdemokraterna",9.3
"0191 Sigtuna","Miljöpartiet",4.2
"0191 Sigtuna","Socialdemokraterna",38.1
"0191 Sigtuna","Vänsterpartiet",6.8
"0191 Sigtuna","Sverigedemokraterna",1.7
"0191 Sigtuna","övriga partier",0.6
"0191 Sigtuna","ogiltiga valsedlar",..
"0191 Sigtuna","ej röstande",..
"0192 Nynäshamn","Moderaterna",15.8
"0192 Nynäshamn","Centerpartiet",3.6
"0192 Nynäshamn","Folkpartiet",13.2
"0192 Nynäshamn","Kristdemokraterna",8.7
"0192 Nynäshamn","Miljöpartiet",4.9
"0192 Nynäshamn","Socialdemokraterna",42.8
"0192 Nynäshamn","Vänsterpartiet",8.8
"0192 Nynäshamn","Sverigedemokraterna",1.8
"0192 Nynäshamn","övriga partier",0.5
"0192 Nynäshamn","ogiltiga valsedlar",..
"0192 Nynäshamn","ej röstande",..
"0305 Håbo","Moderaterna",23.3
"0305 Håbo","Centerpartiet",4.0
"0305 Håbo","Folkpartiet",13.9
"0305 Håbo","Kristdemokraterna",10.9
"0305 Håbo","Miljöpartiet",3.8
"0305 Håbo","Socialdemokraterna",36.6
"0305 Håbo","Vänsterpartiet",5.0
"0305 Håbo","Sverigedemokraterna",1.0
"0305 Håbo","övriga partier",1.4
"0305 Håbo","ogiltiga valsedlar",..
"0305 Håbo","ej röstande",..
"0319 Älvkarleby","Moderaterna",6.8
"0319 Älvkarleby","Centerpartiet",3.2
"0319 Älvkarleby","Folkpartiet",8.2
"0319 Älvkarleby","Kristdemokraterna",4.8
"0319 Älvkarleby","Miljöpartiet",3.5
"0319 Älvkarleby","Socialdemokraterna",61.2
"0319 Älvkarleby","Vänsterpartiet",10.0
"0319 Älvkarleby","Sverigedemokraterna",2.3
"0319 Älvkarleby","övriga partier",0.1
"0319 Älvkarleby","ogiltiga valsedlar",..
"0319 Älvkarleby","ej röstande",..
"0330 Knivsta","Moderaterna",20.1
"0330 Knivsta","Centerpartiet",6.8
"0330 Knivsta","Folkpartiet",17.9
"0330 Knivsta","Kristdemokraterna",10.5
"0330 Knivsta","Miljöpartiet",5.0
"0330 Knivsta","Socialdemokraterna",31.8
"0330 Knivsta","Vänsterpartiet",5.5
"0330 Knivsta","Sverigedemokraterna",1.6
"0330 Knivsta","övriga partier",0.8
"0330 Knivsta","ogiltiga valsedlar",..
"0330 Knivsta","ej röstande",..
"0331 Heby","Moderaterna",9.6
"0331 Heby","Centerpartiet",16.9
"0331 Heby","Folkpartiet",8.4
"0331 Heby","Kristdemokraterna",10.5
"0331 Heby","Miljöpartiet",3.5
"0331 Heby","Socialdemokraterna",40.5
"0331 Heby","Vänsterpartiet",8.4
"0331 Heby","Sverigedemokraterna",1.4
"0331 Heby","övriga partier",0.8
"0331 Heby","ogiltiga valsedlar",..
"0331 Heby","ej röstande",..
"0360 Tierp","Moderaterna",8.2
"0360 Tierp","Centerpartiet",12.5
"0360 Tierp","Folkpartiet",8.1
"0360 Tierp","Kristdemokraterna",7.7
"0360 Tierp","Miljöpartiet",3.7
"0360 Tierp","Socialdemokraterna",50.7
"0360 Tierp","Vänsterpartiet",7.3
"0360 Tierp","Sverigedemokraterna",1.5
"0360 Tierp","övriga partier",0.4
"0360 Tierp","ogiltiga valsedlar",..
"0360 Tierp","ej röstande",..
"0380 Uppsala","Moderaterna",15.1
"0380 Uppsala","Centerpartiet",5.1
"0380 Uppsala","Folkpartiet",18.6
"0380 Uppsala","Kristdemokraterna",8.9
"0380 Uppsala","Miljöpartiet",6.9
"0380 Uppsala","Socialdemokraterna",33.7
"0380 Uppsala","Vänsterpartiet",9.4
"0380 Uppsala","Sverigedemokraterna",1.5
"0380 Uppsala","övriga partier",0.9
"0380 Uppsala","ogiltiga valsedlar",..
"0380 Uppsala","ej röstande",..
"0381 Enköping","Moderaterna",16.3
"0381 Enköping","Centerpartiet",11.4
"0381 Enköping","Folkpartiet",10.8
"0381 Enköping","Kristdemokraterna",9.6
"0381 Enköping","Miljöpartiet",3.5
"0381 Enköping","Socialdemokraterna",40.0
"0381 Enköping","Vänsterpartiet",5.4
"0381 Enköping","Sverigedemokraterna",0.8
"0381 Enköping","övriga partier",2.1
"0381 Enköping","ogiltiga valsedlar",..
"0381 Enköping","ej röstande",..
"0382 Östhammar","Moderaterna",12.9
"0382 Östhammar","Centerpartiet",12.2
"0382 Östhammar","Folkpartiet",8.7
"0382 Östhammar","Kristdemokraterna",7.9
"0382 Östhammar","Miljöpartiet",3.9
"0382 Östhammar","Socialdemokraterna",46.0
"0382 Östhammar","Vänsterpartiet",6.5
"0382 Östhammar","Sverigedemokraterna",1.2
"0382 Östhammar","övriga partier",0.6
"0382 Östhammar","ogiltiga valsedlar",..
"0382 Östhammar","ej röstande",..
"0428 Vingåker","Moderaterna",11.1
"0428 Vingåker","Centerpartiet",7.5
"0428 Vingåker","Folkpartiet",8.6
"0428 Vingåker","Kristdemokraterna",8.2
"0428 Vingåker","Miljöpartiet",5.0
"0428 Vingåker","Socialdemokraterna",53.0
"0428 Vingåker","Vänsterpartiet",5.0
"0428 Vingåker","Sverigedemokraterna",0.7
"0428 Vingåker","övriga partier",0.9
"0428 Vingåker","ogiltiga valsedlar",..
"0428 Vingåker","ej röstande",..
"0461 Gnesta","Moderaterna",14.5
"0461 Gnesta","Centerpartiet",10.4
"0461 Gnesta","Folkpartiet",11.4
"0461 Gnesta","Kristdemokraterna",8.5
"0461 Gnesta","Miljöpartiet",6.5
"0461 Gnesta","Socialdemokraterna",40.3
"0461 Gnesta","Vänsterpartiet",6.6
"0461 Gnesta","Sverigedemokraterna",0.6
"0461 Gnesta","övriga partier",1.2
"0461 Gnesta","ogiltiga valsedlar",..
"0461 Gnesta","ej röstande",..
"0480 Nyköping","Moderaterna",13.0
"0480 Nyköping","Centerpartiet",6.0
"0480 Nyköping","Folkpartiet",11.3
"0480 Nyköping","Kristdemokraterna",9.3
"0480 Nyköping","Miljöpartiet",4.3
"0480 Nyköping","Socialdemokraterna",47.4
"0480 Nyköping","Vänsterpartiet",7.4
"0480 Nyköping","Sverigedemokraterna",0.8
"0480 Nyköping","övriga partier",0.6
"0480 Nyköping","ogiltiga valsedlar",..
"0480 Nyköping","ej röstande",..
"0481 Oxelösund","Moderaterna",9.8
"0481 Oxelösund","Centerpartiet",1.9
"0481 Oxelösund","Folkpartiet",8.8
"0481 Oxelösund","Kristdemokraterna",5.9
"0481 Oxelösund","Miljöpartiet",4.7
"0481 Oxelösund","Socialdemokraterna",56.2
"0481 Oxelösund","Vänsterpartiet",11.7
"0481 Oxelösund","Sverigedemokraterna",0.5
"0481 Oxelösund","övriga partier",0.5
"0481 Oxelösund","ogiltiga valsedlar",..
"0481 Oxelösund","ej röstande",..
"0482 Flen","Moderaterna",12.1
"0482 Flen","Centerpartiet",7.5
"0482 Flen","Folkpartiet",9.3
"0482 Flen","Kristdemokraterna",8.7
"0482 Flen","Miljöpartiet",4.5
"0482 Flen","Socialdemokraterna",48.1
"0482 Flen","Vänsterpartiet",7.5
"0482 Flen","Sverigedemokraterna",1.0
"0482 Flen","övriga partier",1.2
"0482 Flen","ogiltiga valsedlar",..
"0482 Flen","ej röstande",..
"0483 Katrineholm","Moderaterna",10.9
"0483 Katrineholm","Centerpartiet",6.0
"0483 Katrineholm","Folkpartiet",9.8
"0483 Katrineholm","Kristdemokraterna",7.8
"0483 Katrineholm","Miljöpartiet",5.0
"0483 Katrineholm","Socialdemokraterna",52.7
"0483 Katrineholm","Vänsterpartiet",5.6
"0483 Katrineholm","Sverigedemokraterna",1.2
"0483 Katrineholm","övriga partier",1.0
"0483 Katrineholm","ogiltiga valsedlar",..
"0483 Katrineholm","ej röstande",..
"0484 Eskilstuna","Moderaterna",12.2
"0484 Eskilstuna","Centerpartiet",4.4
"0484 Eskilstuna","Folkpartiet",12.6
"0484 Eskilstuna","Kristdemokraterna",7.6
"0484 Eskilstuna","Miljöpartiet",5.0
"0484 Eskilstuna","Socialdemokraterna",47.8
"0484 Eskilstuna","Vänsterpartiet",7.8
"0484 Eskilstuna","Sverigedemokraterna",1.3
"0484 Eskilstuna","övriga partier",1.3
"0484 Eskilstuna","ogiltiga valsedlar",..
"0484 Eskilstuna","ej röstande",..
"0486 Strängnäs","Moderaterna",18.4
"0486 Strängnäs","Centerpartiet",5.4
"0486 Strängnäs","Folkpartiet",16.3
"0486 Strängnäs","Kristdemokraterna",9.5
"0486 Strängnäs","Miljöpartiet",4.5
"0486 Strängnäs","Socialdemokraterna",38.5
"0486 Strängnäs","Vänsterpartiet",5.9
"0486 Strängnäs","Sverigedemokraterna",0.5
"0486 Strängnäs","övriga partier",1.1
"0486 Strängnäs","ogiltiga valsedlar",..
"0486 Strängnäs","ej röstande",..
"0488 Trosa","Moderaterna",19.0
"0488 Trosa","Centerpartiet",5.1
"0488 Trosa","Folkpartiet",13.4
"0488 Trosa","Kristdemokraterna",9.3
"0488 Trosa","Miljöpartiet",5.3
"0488 Trosa","Socialdemokraterna",41.0
"0488 Trosa","Vänsterpartiet",5.5
"0488 Trosa","Sverigedemokraterna",0.6
"0488 Trosa","övriga partier",0.7
"0488 Trosa","ogiltiga valsedlar",..
"0488 Trosa","ej röstande",..
"0509 Ödeshög","Moderaterna",12.2
"0509 Ödeshög","Centerpartiet",14.0
"0509 Ödeshög","Folkpartiet",5.9
"0509 Ödeshög","Kristdemokraterna",18.4
"0509 Ödeshög","Miljöpartiet",4.6
"0509 Ödeshög","Socialdemokraterna",38.1
"0509 Ödeshög","Vänsterpartiet",5.5
"0509 Ödeshög","Sverigedemokraterna",0.3
"0509 Ödeshög","övriga partier",1.1
"0509 Ödeshög","ogiltiga valsedlar",..
"0509 Ödeshög","ej röstande",..
"0512 Ydre","Moderaterna",10.4
"0512 Ydre","Centerpartiet",16.9
"0512 Ydre","Folkpartiet",8.3
"0512 Ydre","Kristdemokraterna",21.4
"0512 Ydre","Miljöpartiet",4.8
"0512 Ydre","Socialdemokraterna",33.0
"0512 Ydre","Vänsterpartiet",4.3
"0512 Ydre","Sverigedemokraterna",0.0
"0512 Ydre","övriga partier",0.8
"0512 Ydre","ogiltiga valsedlar",..
"0512 Ydre","ej röstande",..
"0513 Kinda","Moderaterna",11.1
"0513 Kinda","Centerpartiet",16.3
"0513 Kinda","Folkpartiet",8.1
"0513 Kinda","Kristdemokraterna",14.4
"0513 Kinda","Miljöpartiet",4.2
"0513 Kinda","Socialdemokraterna",38.5
"0513 Kinda","Vänsterpartiet",5.8
"0513 Kinda","Sverigedemokraterna",1.0
"0513 Kinda","övriga partier",0.5
"0513 Kinda","ogiltiga valsedlar",..
"0513 Kinda","ej röstande",..
"0560 Boxholm","Moderaterna",7.4
"0560 Boxholm","Centerpartiet",11.4
"0560 Boxholm","Folkpartiet",5.9
"0560 Boxholm","Kristdemokraterna",9.8
"0560 Boxholm","Miljöpartiet",3.2
"0560 Boxholm","Socialdemokraterna",53.4
"0560 Boxholm","Vänsterpartiet",7.5
"0560 Boxholm","Sverigedemokraterna",0.6
"0560 Boxholm","övriga partier",0.8
"0560 Boxholm","ogiltiga valsedlar",..
"0560 Boxholm","ej röstande",..
"0561 Åtvidaberg","Moderaterna",11.0
"0561 Åtvidaberg","Centerpartiet",9.7
"0561 Åtvidaberg","Folkpartiet",7.7
"0561 Åtvidaberg","Kristdemokraterna",10.1
"0561 Åtvidaberg","Miljöpartiet",3.7
"0561 Åtvidaberg","Socialdemokraterna",49.0
"0561 Åtvidaberg","Vänsterpartiet",6.7
"0561 Åtvidaberg","Sverigedemokraterna",0.7
"0561 Åtvidaberg","övriga partier",1.4
"0561 Åtvidaberg","ogiltiga valsedlar",..
"0561 Åtvidaberg","ej röstande",..
"0562 Finspång","Moderaterna",9.7
"0562 Finspång","Centerpartiet",5.7
"0562 Finspång","Folkpartiet",8.3
"0562 Finspång","Kristdemokraterna",9.6
"0562 Finspång","Miljöpartiet",4.0
"0562 Finspång","Socialdemokraterna",51.6
"0562 Finspång","Vänsterpartiet",9.5
"0562 Finspång","Sverigedemokraterna",0.9
"0562 Finspång","övriga partier",0.6
"0562 Finspång","ogiltiga valsedlar",..
"0562 Finspång","ej röstande",..
"0563 Valdemarsvik","Moderaterna",13.9
"0563 Valdemarsvik","Centerpartiet",15.5
"0563 Valdemarsvik","Folkpartiet",7.7
"0563 Valdemarsvik","Kristdemokraterna",9.1
"0563 Valdemarsvik","Miljöpartiet",3.4
"0563 Valdemarsvik","Socialdemokraterna",43.4
"0563 Valdemarsvik","Vänsterpartiet",5.8
"0563 Valdemarsvik","Sverigedemokraterna",0.4
"0563 Valdemarsvik","övriga partier",0.8
"0563 Valdemarsvik","ogiltiga valsedlar",..
"0563 Valdemarsvik","ej röstande",..
"0580 Linköping","Moderaterna",16.0
"0580 Linköping","Centerpartiet",5.1
"0580 Linköping","Folkpartiet",15.1
"0580 Linköping","Kristdemokraterna",10.7
"0580 Linköping","Miljöpartiet",5.4
"0580 Linköping","Socialdemokraterna",38.2
"0580 Linköping","Vänsterpartiet",7.0
"0580 Linköping","Sverigedemokraterna",0.7
"0580 Linköping","övriga partier",1.9
"0580 Linköping","ogiltiga valsedlar",..
"0580 Linköping","ej röstande",..
"0581 Norrköping","Moderaterna",16.7
"0581 Norrköping","Centerpartiet",3.8
"0581 Norrköping","Folkpartiet",11.6
"0581 Norrköping","Kristdemokraterna",9.1
"0581 Norrköping","Miljöpartiet",5.1
"0581 Norrköping","Socialdemokraterna",42.3
"0581 Norrköping","Vänsterpartiet",7.8
"0581 Norrköping","Sverigedemokraterna",1.4
"0581 Norrköping","övriga partier",2.2
"0581 Norrköping","ogiltiga valsedlar",..
"0581 Norrköping","ej röstande",..
"0582 Söderköping","Moderaterna",19.0
"0582 Söderköping","Centerpartiet",10.4
"0582 Söderköping","Folkpartiet",10.3
"0582 Söderköping","Kristdemokraterna",11.5
"0582 Söderköping","Miljöpartiet",5.4
"0582 Söderköping","Socialdemokraterna",35.3
"0582 Söderköping","Vänsterpartiet",5.8
"0582 Söderköping","Sverigedemokraterna",1.3
"0582 Söderköping","övriga partier",1.1
"0582 Söderköping","ogiltiga valsedlar",..
"0582 Söderköping","ej röstande",..
"0583 Motala","Moderaterna",10.8
"0583 Motala","Centerpartiet",5.1
"0583 Motala","Folkpartiet",10.2
"0583 Motala","Kristdemokraterna",9.0
"0583 Motala","Miljöpartiet",4.1
"0583 Motala","Socialdemokraterna",49.4
"0583 Motala","Vänsterpartiet",7.6
"0583 Motala","Sverigedemokraterna",0.4
"0583 Motala","övriga partier",3.4
"0583 Motala","ogiltiga valsedlar",..
"0583 Motala","ej röstande",..
"0584 Vadstena","Moderaterna",16.7
"0584 Vadstena","Centerpartiet",6.8
"0584 Vadstena","Folkpartiet",10.2
"0584 Vadstena","Kristdemokraterna",12.0
"0584 Vadstena","Miljöpartiet",4.8
"0584 Vadstena","Socialdemokraterna",40.7
"0584 Vadstena","Vänsterpartiet",5.3
"0584 Vadstena","Sverigedemokraterna",0.6
"0584 Vadstena","övriga partier",2.8
"0584 Vadstena","ogiltiga valsedlar",..
"0584 Vadstena","ej röstande",..
"0586 Mjölby","Moderaterna",12.7
"0586 Mjölby","Centerpartiet",8.0
"0586 Mjölby","Folkpartiet",9.9
"0586 Mjölby","Kristdemokraterna",10.1
"0586 Mjölby","Miljöpartiet",3.4
"0586 Mjölby","Socialdemokraterna",46.4
"0586 Mjölby","Vänsterpartiet",7.2
"0586 Mjölby","Sverigedemokraterna",0.3
"0586 Mjölby","övriga partier",2.1
"0586 Mjölby","ogiltiga valsedlar",..
"0586 Mjölby","ej röstande",..
"0604 Aneby","Moderaterna",9.2
"0604 Aneby","Centerpartiet",11.6
