"region","party","Year=2002"
"0114 Upplands Väsby","Moderaterna",18.7
"0114 Upplands Väsby","Centerpartiet",2.4
"0114 Upplands Väsby","Folkpartiet",16.4
"0114 Upplands Väsby","Kristdemokraterna",8.3
"0114 Upplands Väsby","Miljöpartiet",4.5
"0114 Upplands Väsby","Socialdemokraterna",38.8
"0114 Upplands Väsby","Vänsterpartiet",8.3
"0114 Upplands Väsby","Sverigedemokraterna",1.1
"0114 Upplands Väsby","övriga partier",1.5
"0114 Upplands Väsby","ogiltiga valsedlar",..
"0114 Upplands Väsby","ej röstande",..
"0115 Vallentuna","Moderaterna",22.3
"0115 Vallentuna","Centerpartiet",4.5
"0115 Vallentuna","Folkpartiet",19.2
"0115 Vallentuna","Kristdemokraterna",11.2
"0115 Vallentuna","Miljöpartiet",5.7
"0115 Vallentuna","Socialdemokraterna",29.7
"0115 Vallentuna","Vänsterpartiet",5.5
"0115 Vallentuna","Sverigedemokraterna",1.2
"0115 Vallentuna","övriga partier",0.8
"0115 Vallentuna","ogiltiga valsedlar",..
"0115 Vallentuna","ej röstande",..
"0117 Österåker","Moderaterna",24.0
"0117 Österåker","Centerpartiet",2.6
"0117 Österåker","Folkpartiet",19.7
"0117 Österåker","Kristdemokraterna",9.8
"0117 Österåker","Miljöpartiet",4.9
"0117 Österåker","Socialdemokraterna",31.7
"0117 Österåker","Vänsterpartiet",5.6
"0117 Österåker","Sverigedemokraterna",0.8
"0117 Österåker","övriga partier",0.9
"0117 Österåker","ogiltiga valsedlar",..
"0117 Österåker","ej röstande",..
"0120 Värmdö","Moderaterna",24.2
"0120 Värmdö","Centerpartiet",2.5
"0120 Värmdö","Folkpartiet",18.1
"0120 Värmdö","Kristdemokraterna",8.7
"0120 Värmdö","Miljöpartiet",5.6
"0120 Värmdö","Socialdemokraterna",32.4
"0120 Värmdö","Vänsterpartiet",7.0
"0120 Värmdö","Sverigedemokraterna",0.8
"0120 Värmdö","övriga partier",0.7
"0120 Värmdö","ogiltiga valsedlar",..
"0120 Värmdö","ej röstande",..
"0123 Järfälla","Moderaterna",18.6
"0123 Järfälla","Centerpartiet",2.0
"0123 Järfälla","Folkpartiet",18.3
"0123 Järfälla","Kristdemokraterna",9.3
"0123 Järfälla","Miljöpartiet",4.7
"0123 Järfälla","Socialdemokraterna",37.2
"0123 Järfälla","Vänsterpartiet",7.8
"0123 Järfälla","Sverigedemokraterna",1.3
"0123 Järfälla","övriga partier",0.9
"0123 Järfälla","ogiltiga valsedlar",..
"0123 Järfälla","ej röstande",..
"0125 Ekerö","Moderaterna",26.1
"0125 Ekerö","Centerpartiet",3.8
"0125 Ekerö","Folkpartiet",20.4
"0125 Ekerö","Kristdemokraterna",10.5
"0125 Ekerö","Miljöpartiet",6.4
"0125 Ekerö","Socialdemokraterna",25.8
"0125 Ekerö","Vänsterpartiet",5.2
"0125 Ekerö","Sverigedemokraterna",0.8
"0125 Ekerö","övriga partier",1.0
"0125 Ekerö","ogiltiga valsedlar",..
"0125 Ekerö","ej röstande",..
"0126 Huddinge","Moderaterna",19.5
"0126 Huddinge","Centerpartiet",1.9
"0126 Huddinge","Folkpartiet",17.0
"0126 Huddinge","Kristdemokraterna",8.1
"0126 Huddinge","Miljöpartiet",4.7
"0126 Huddinge","Socialdemokraterna",37.3
"0126 Huddinge","Vänsterpartiet",8.3
"0126 Huddinge","Sverigedemokraterna",1.7
"0126 Huddinge","övriga partier",1.5
"0126 Huddinge","ogiltiga valsedlar",..
"0126 Huddinge","ej röstande",..
"0127 Botkyrka","Moderaterna",13.8
"0127 Botkyrka","Centerpartiet",1.6
"0127 Botkyrka","Folkpartiet",14.3
"0127 Botkyrka","Kristdemokraterna",9.6
"0127 Botkyrka","Miljöpartiet",4.7
"0127 Botkyrka","Socialdemokraterna",43.1
"0127 Botkyrka","Vänsterpartiet",10.3
"0127 Botkyrka","Sverigedemokraterna",1.2
"0127 Botkyrka","övriga partier",1.4
"0127 Botkyrka","ogiltiga valsedlar",..
"0127 Botkyrka","ej röstande",..
"0128 Salem","Moderaterna",19.8
"0128 Salem","Centerpartiet",2.2
"0128 Salem","Folkpartiet",18.5
"0128 Salem","Kristdemokraterna",9.5
"0128 Salem","Miljöpartiet",5.0
"0128 Salem","Socialdemokraterna",36.2
"0128 Salem","Vänsterpartiet",6.0
"0128 Salem","Sverigedemokraterna",1.6
"0128 Salem","övriga partier",1.1
"0128 Salem","ogiltiga valsedlar",..
"0128 Salem","ej röstande",..
"0136 Haninge","Moderaterna",16.1
"0136 Haninge","Centerpartiet",2.0
"0136 Haninge","Folkpartiet",14.7
"0136 Haninge","Kristdemokraterna",8.1
"0136 Haninge","Miljöpartiet",5.0
"0136 Haninge","Socialdemokraterna",42.0
"0136 Haninge","Vänsterpartiet",9.0
"0136 Haninge","Sverigedemokraterna",0.9
"0136 Haninge","övriga partier",2.3
"0136 Haninge","ogiltiga valsedlar",..
"0136 Haninge","ej röstande",..
"0138 Tyresö","Moderaterna",21.8
"0138 Tyresö","Centerpartiet",2.0
"0138 Tyresö","Folkpartiet",18.4
"0138 Tyresö","Kristdemokraterna",7.8
"0138 Tyresö","Miljöpartiet",4.9
"0138 Tyresö","Socialdemokraterna",35.2
"0138 Tyresö","Vänsterpartiet",7.2
"0138 Tyresö","Sverigedemokraterna",1.0
"0138 Tyresö","övriga partier",1.6
"0138 Tyresö","ogiltiga valsedlar",..
"0138 Tyresö","ej röstande",..
"0139 Upplands-Bro","Moderaterna",18.0
"0139 Upplands-Bro","Centerpartiet",2.8
"0139 Upplands-Bro","Folkpartiet",15.5
"0139 Upplands-Bro","Kristdemokraterna",10.9
"0139 Upplands-Bro","Miljöpartiet",3.8
"0139 Upplands-Bro","Socialdemokraterna",39.4
"0139 Upplands-Bro","Vänsterpartiet",7.9
"0139 Upplands-Bro","Sverigedemokraterna",0.8
"0139 Upplands-Bro","övriga partier",0.9
"0139 Upplands-Bro","ogiltiga valsedlar",..
"0139 Upplands-Bro","ej röstande",..
"0140 Nykvarn","Moderaterna",17.6
"0140 Nykvarn","Centerpartiet",4.8
"0140 Nykvarn","Folkpartiet",14.0
"0140 Nykvarn","Kristdemokraterna",8.2
"0140 Nykvarn","Miljöpartiet",4.2
"0140 Nykvarn","Socialdemokraterna",42.9
"0140 Nykvarn","Vänsterpartiet",5.2
"0140 Nykvarn","Sverigedemokraterna",1.9
"0140 Nykvarn","övriga partier",1.2
"0140 Nykvarn","ogiltiga valsedlar",..
"0140 Nykvarn","ej röstande",..
"0160 Täby","Moderaterna",35.1
"0160 Täby","Centerpartiet",2.0
"0160 Täby","Folkpartiet",25.3
"0160 Täby","Kristdemokraterna",9.6
"0160 Täby","Miljöpartiet",3.6
"0160 Täby","Socialdemokraterna",19.5
"0160 Täby","Vänsterpartiet",3.4
"0160 Täby","Sverigedemokraterna",0.9
"0160 Täby","övriga partier",0.6
"0160 Täby","ogiltiga valsedlar",..
"0160 Täby","ej röstande",..
"0162 Danderyd","Moderaterna",45.1
"0162 Danderyd","Centerpartiet",1.9
"0162 Danderyd","Folkpartiet",24.7
"0162 Danderyd","Kristdemokraterna",10.7
"0162 Danderyd","Miljöpartiet",3.2
"0162 Danderyd","Socialdemokraterna",11.2
"0162 Danderyd","Vänsterpartiet",2.1
