"region","ålder","2002","2006","2010"
"1285 Eslöv","totalt ålder",28950,30403,31561
"1286 Ystad","totalt ålder",26390,27297,28320
"1287 Trelleborg","totalt ålder",38682,40301,42172
"1290 Kristianstad","totalt ålder",74916,76587,79451
"1291 Simrishamn","totalt ålder",19403,19425,19321
"1292 Ängelholm","totalt ålder",37733,38674,39436
"1293 Hässleholm","totalt ålder",48562,49351,50094
"1315 Hylte","totalt ålder",10426,10370,10201
"1380 Halmstad","totalt ålder",86504,88934,91824
"1381 Laholm","totalt ålder",22755,23134,23377
"1382 Falkenberg","totalt ålder",38870,39828,40984
"1383 Varberg","totalt ålder",53307,55460,58032
"1384 Kungsbacka","totalt ålder",66529,70926,74810
"1401 Härryda","totalt ålder",30810,32342,34437
"1402 Partille","totalt ålder",33107,33661,34910
"1407 Öckerö","totalt ålder",11985,12231,12467
"1415 Stenungsund","totalt ålder",21675,23156,24252
"1419 Tjörn","totalt ålder",14820,14944,14931
"1421 Orust","totalt ålder",15144,15198,15229
"1427 Sotenäs","totalt ålder",9488,9300,9056
"1430 Munkedal","totalt ålder",10443,10254,10172
"1435 Tanum","totalt ålder",12222,12254,12363
"1438 Dals-Ed","totalt ålder",5047,4906,4710
"1439 Färgelanda","totalt ålder",6942,6768,6650
"1440 Ale","totalt ålder",25788,26733,27456
"1441 Lerum","totalt ålder",35559,37070,38543
"1442 Vårgårda","totalt ålder",10651,10869,10875
"1443 Bollebygd","totalt ålder",7828,8147,8353
"1444 Grästorp","totalt ålder",5853,5800,5779
"1445 Essunga","totalt ålder",5759,5664,5581
"1446 Karlsborg","totalt ålder",6965,6885,6768
"1447 Gullspång","totalt ålder",5787,5465,5309
"1452 Tranemo","totalt ålder",11977,11764,11568
"1460 Bengtsfors","totalt ålder",10557,10110,9741
"1461 Mellerud","totalt ålder",9821,9613,9195
"1462 Lilla Edet","totalt ålder",12981,12854,12550
"1463 Mark","totalt ålder",32997,33533,33755
"1465 Svenljunga","totalt ålder",10514,10409,10306
"1466 Herrljunga","totalt ålder",9476,9248,9319
"1470 Vara","totalt ålder",16014,15988,15755
"1471 Götene","totalt ålder",12981,12929,13211
"1472 Tibro","totalt ålder",10598,10644,10563
"1473 Töreboda","totalt ålder",9448,9403,9133
"1480 Göteborg","totalt ålder",474572,489696,513338
"1481 Mölndal","totalt ålder",57091,58803,60865
"1482 Kungälv","totalt ålder",37918,38898,41123
"1484 Lysekil","totalt ålder",14803,14680,14551
"1485 Uddevalla","totalt ålder",49633,50539,51812
"1486 Strömstad","totalt ålder",11240,11561,11811
"1487 Vänersborg","totalt ålder",37031,37052,36888
"1488 Trollhättan","totalt ålder",52927,53820,55220
"1489 Alingsås","totalt ålder",35274,36371,37851
"1490 Borås","totalt ålder",98049,100147,103218
"1491 Ulricehamn","totalt ålder",22299,22447,22835
"1492 Åmål","totalt ålder",12834,12747,12314
"1493 Mariestad","totalt ålder",23721,23942,23774
"1494 Lidköping","totalt ålder",36969,37519,38054
"1495 Skara","totalt ålder",18316,18593,18326
"1496 Skövde","totalt ålder",49419,50181,51327
"1497 Hjo","totalt ålder",8840,8857,8841
