"region","party","Year=2010"
"0461 Gnesta","Kristdemokraterna",4.0
"0461 Gnesta","Miljöpartiet",9.8
"0461 Gnesta","Socialdemokraterna",28.7
"0461 Gnesta","Vänsterpartiet",5.7
"0461 Gnesta","Sverigedemokraterna",6.0
"0461 Gnesta","övriga partier",1.6
"0461 Gnesta","ogiltiga valsedlar",..
"0461 Gnesta","ej röstande",..
"0480 Nyköping","Moderaterna",27.9
"0480 Nyköping","Centerpartiet",6.0
"0480 Nyköping","Folkpartiet",7.0
"0480 Nyköping","Kristdemokraterna",5.4
"0480 Nyköping","Miljöpartiet",8.2
"0480 Nyköping","Socialdemokraterna",34.4
"0480 Nyköping","Vänsterpartiet",4.8
"0480 Nyköping","Sverigedemokraterna",5.3
"0480 Nyköping","övriga partier",1.1
"0480 Nyköping","ogiltiga valsedlar",..
"0480 Nyköping","ej röstande",..
"0481 Oxelösund","Moderaterna",23.1
"0481 Oxelösund","Centerpartiet",2.8
"0481 Oxelösund","Folkpartiet",5.3
"0481 Oxelösund","Kristdemokraterna",3.3
"0481 Oxelösund","Miljöpartiet",7.2
"0481 Oxelösund","Socialdemokraterna",44.2
"0481 Oxelösund","Vänsterpartiet",7.8
"0481 Oxelösund","Sverigedemokraterna",4.8
"0481 Oxelösund","övriga partier",1.4
"0481 Oxelösund","ogiltiga valsedlar",..
"0481 Oxelösund","ej röstande",..
"0482 Flen","Moderaterna",24.2
"0482 Flen","Centerpartiet",8.2
"0482 Flen","Folkpartiet",4.8
"0482 Flen","Kristdemokraterna",4.9
"0482 Flen","Miljöpartiet",5.9
"0482 Flen","Socialdemokraterna",38.7
"0482 Flen","Vänsterpartiet",5.5
"0482 Flen","Sverigedemokraterna",6.9
"0482 Flen","övriga partier",0.9
"0482 Flen","ogiltiga valsedlar",..
"0482 Flen","ej röstande",..
"0483 Katrineholm","Moderaterna",25.0
"0483 Katrineholm","Centerpartiet",6.3
"0483 Katrineholm","Folkpartiet",6.8
"0483 Katrineholm","Kristdemokraterna",4.3
"0483 Katrineholm","Miljöpartiet",7.6
"0483 Katrineholm","Socialdemokraterna",38.4
"0483 Katrineholm","Vänsterpartiet",4.6
"0483 Katrineholm","Sverigedemokraterna",6.3
"0483 Katrineholm","övriga partier",0.8
"0483 Katrineholm","ogiltiga valsedlar",..
"0483 Katrineholm","ej röstande",..
"0484 Eskilstuna","Moderaterna",26.2
"0484 Eskilstuna","Centerpartiet",4.6
"0484 Eskilstuna","Folkpartiet",6.7
"0484 Eskilstuna","Kristdemokraterna",4.4
"0484 Eskilstuna","Miljöpartiet",7.9
"0484 Eskilstuna","Socialdemokraterna",35.8
"0484 Eskilstuna","Vänsterpartiet",5.4
"0484 Eskilstuna","Sverigedemokraterna",7.9
"0484 Eskilstuna","övriga partier",1.0
"0484 Eskilstuna","ogiltiga valsedlar",..
"0484 Eskilstuna","ej röstande",..
"0486 Strängnäs","Moderaterna",35.2
"0486 Strängnäs","Centerpartiet",6.7
"0486 Strängnäs","Folkpartiet",7.7
"0486 Strängnäs","Kristdemokraterna",5.4
"0486 Strängnäs","Miljöpartiet",6.7
"0486 Strängnäs","Socialdemokraterna",26.8
"0486 Strängnäs","Vänsterpartiet",4.2
"0486 Strängnäs","Sverigedemokraterna",6.3
"0486 Strängnäs","övriga partier",1.0
"0486 Strängnäs","ogiltiga valsedlar",..
"0486 Strängnäs","ej röstande",..
"0488 Trosa","Moderaterna",41.3
"0488 Trosa","Centerpartiet",5.2
"0488 Trosa","Folkpartiet",7.0
"0488 Trosa","Kristdemokraterna",5.4
"0488 Trosa","Miljöpartiet",7.4
"0488 Trosa","Socialdemokraterna",23.5
"0488 Trosa","Vänsterpartiet",3.5
"0488 Trosa","Sverigedemokraterna",5.8
"0488 Trosa","övriga partier",1.0
"0488 Trosa","ogiltiga valsedlar",..
"0488 Trosa","ej röstande",..
"0509 Ödeshög","Moderaterna",26.5
"0509 Ödeshög","Centerpartiet",9.6
"0509 Ödeshög","Folkpartiet",3.8
"0509 Ödeshög","Kristdemokraterna",12.4
"0509 Ödeshög","Miljöpartiet",5.9
"0509 Ödeshög","Socialdemokraterna",31.2
"0509 Ödeshög","Vänsterpartiet",3.8
"0509 Ödeshög","Sverigedemokraterna",5.9
"0509 Ödeshög","övriga partier",0.9
"0509 Ödeshög","ogiltiga valsedlar",..
"0509 Ödeshög","ej röstande",..
"0512 Ydre","Moderaterna",25.5
"0512 Ydre","Centerpartiet",16.0
"0512 Ydre","Folkpartiet",5.1
"0512 Ydre","Kristdemokraterna",11.3
"0512 Ydre","Miljöpartiet",4.9
"0512 Ydre","Socialdemokraterna",28.2
"0512 Ydre","Vänsterpartiet",2.9
"0512 Ydre","Sverigedemokraterna",5.8
"0512 Ydre","övriga partier",0.4
"0512 Ydre","ogiltiga valsedlar",..
"0512 Ydre","ej röstande",..
"0513 Kinda","Moderaterna",25.0
"0513 Kinda","Centerpartiet",13.2
"0513 Kinda","Folkpartiet",5.0
"0513 Kinda","Kristdemokraterna",6.7
"0513 Kinda","Miljöpartiet",6.3
"0513 Kinda","Socialdemokraterna",32.1
"0513 Kinda","Vänsterpartiet",4.7
"0513 Kinda","Sverigedemokraterna",6.3
"0513 Kinda","övriga partier",0.7
"0513 Kinda","ogiltiga valsedlar",..
"0513 Kinda","ej röstande",..
"0560 Boxholm","Moderaterna",20.2
"0560 Boxholm","Centerpartiet",9.1
"0560 Boxholm","Folkpartiet",3.7
"0560 Boxholm","Kristdemokraterna",5.1
"0560 Boxholm","Miljöpartiet",4.9
"0560 Boxholm","Socialdemokraterna",45.4
"0560 Boxholm","Vänsterpartiet",5.7
"0560 Boxholm","Sverigedemokraterna",5.4
"0560 Boxholm","övriga partier",0.5
"0560 Boxholm","ogiltiga valsedlar",..
"0560 Boxholm","ej röstande",..
"0561 Åtvidaberg","Moderaterna",25.2
"0561 Åtvidaberg","Centerpartiet",8.2
"0561 Åtvidaberg","Folkpartiet",4.8
"0561 Åtvidaberg","Kristdemokraterna",5.1
"0561 Åtvidaberg","Miljöpartiet",5.2
"0561 Åtvidaberg","Socialdemokraterna",41.4
"0561 Åtvidaberg","Vänsterpartiet",4.4
"0561 Åtvidaberg","Sverigedemokraterna",5.0
"0561 Åtvidaberg","övriga partier",0.6
"0561 Åtvidaberg","ogiltiga valsedlar",..
"0561 Åtvidaberg","ej röstande",..
"0562 Finspång","Moderaterna",22.2
"0562 Finspång","Centerpartiet",5.6
"0562 Finspång","Folkpartiet",4.6
"0562 Finspång","Kristdemokraterna",5.8
"0562 Finspång","Miljöpartiet",5.8
"0562 Finspång","Socialdemokraterna",43.9
"0562 Finspång","Vänsterpartiet",6.1
"0562 Finspång","Sverigedemokraterna",5.3
"0562 Finspång","övriga partier",0.7
"0562 Finspång","ogiltiga valsedlar",..
"0562 Finspång","ej röstande",..
"0563 Valdemarsvik","Moderaterna",26.2
"0563 Valdemarsvik","Centerpartiet",11.9
"0563 Valdemarsvik","Folkpartiet",4.2
"0563 Valdemarsvik","Kristdemokraterna",5.2
"0563 Valdemarsvik","Miljöpartiet",4.4
"0563 Valdemarsvik","Socialdemokraterna",37.0
"0563 Valdemarsvik","Vänsterpartiet",4.1
"0563 Valdemarsvik","Sverigedemokraterna",6.4
"0563 Valdemarsvik","övriga partier",0.6
"0563 Valdemarsvik","ogiltiga valsedlar",..
"0563 Valdemarsvik","ej röstande",..
"0580 Linköping","Moderaterna",30.6
"0580 Linköping","Centerpartiet",6.3
"0580 Linköping","Folkpartiet",8.8
"0580 Linköping","Kristdemokraterna",6.4
"0580 Linköping","Miljöpartiet",9.4
"0580 Linköping","Socialdemokraterna",27.6
"0580 Linköping","Vänsterpartiet",4.7
"0580 Linköping","Sverigedemokraterna",4.5
"0580 Linköping","övriga partier",1.7
"0580 Linköping","ogiltiga valsedlar",..
"0580 Linköping","ej röstande",..
"0581 Norrköping","Moderaterna",30.2
"0581 Norrköping","Centerpartiet",4.7
"0581 Norrköping","Folkpartiet",6.0
"0581 Norrköping","Kristdemokraterna",5.2
"0581 Norrköping","Miljöpartiet",7.9
"0581 Norrköping","Socialdemokraterna",32.5
"0581 Norrköping","Vänsterpartiet",5.7
"0581 Norrköping","Sverigedemokraterna",6.1
"0581 Norrköping","övriga partier",1.8
"0581 Norrköping","ogiltiga valsedlar",..
"0581 Norrköping","ej röstande",..
"0582 Söderköping","Moderaterna",33.7
"0582 Söderköping","Centerpartiet",10.0
"0582 Söderköping","Folkpartiet",5.9
"0582 Söderköping","Kristdemokraterna",6.6
"0582 Söderköping","Miljöpartiet",7.1
"0582 Söderköping","Socialdemokraterna",26.2
"0582 Söderköping","Vänsterpartiet",4.2
"0582 Söderköping","Sverigedemokraterna",5.0
"0582 Söderköping","övriga partier",1.3
"0582 Söderköping","ogiltiga valsedlar",..
"0582 Söderköping","ej röstande",..
"0583 Motala","Moderaterna",24.0
"0583 Motala","Centerpartiet",4.6
"0583 Motala","Folkpartiet",6.2
"0583 Motala","Kristdemokraterna",4.6
"0583 Motala","Miljöpartiet",5.2
"0583 Motala","Socialdemokraterna",42.9
"0583 Motala","Vänsterpartiet",5.5
"0583 Motala","Sverigedemokraterna",5.7
"0583 Motala","övriga partier",1.3
"0583 Motala","ogiltiga valsedlar",..
"0583 Motala","ej röstande",..
"0584 Vadstena","Moderaterna",31.1
"0584 Vadstena","Centerpartiet",6.2
"0584 Vadstena","Folkpartiet",6.8
"0584 Vadstena","Kristdemokraterna",6.7
"0584 Vadstena","Miljöpartiet",6.6
"0584 Vadstena","Socialdemokraterna",32.9
"0584 Vadstena","Vänsterpartiet",3.9
"0584 Vadstena","Sverigedemokraterna",5.0
"0584 Vadstena","övriga partier",0.9
"0584 Vadstena","ogiltiga valsedlar",..
"0584 Vadstena","ej röstande",..
"0586 Mjölby","Moderaterna",26.0
"0586 Mjölby","Centerpartiet",6.8
"0586 Mjölby","Folkpartiet",6.4
"0586 Mjölby","Kristdemokraterna",5.7
"0586 Mjölby","Miljöpartiet",5.8
"0586 Mjölby","Socialdemokraterna",37.8
"0586 Mjölby","Vänsterpartiet",5.1
"0586 Mjölby","Sverigedemokraterna",4.8
"0586 Mjölby","övriga partier",1.6
"0586 Mjölby","ogiltiga valsedlar",..
"0586 Mjölby","ej röstande",..
"0604 Aneby","Moderaterna",22.6
"0604 Aneby","Centerpartiet",12.3
