"region","party","Year=2010"
"0114 Upplands Väsby","Moderaterna",36.7
"0114 Upplands Väsby","Centerpartiet",4.0
"0114 Upplands Väsby","Folkpartiet",8.3
"0114 Upplands Väsby","Kristdemokraterna",5.5
"0114 Upplands Väsby","Miljöpartiet",7.0
"0114 Upplands Väsby","Socialdemokraterna",27.2
"0114 Upplands Väsby","Vänsterpartiet",5.2
"0114 Upplands Väsby","Sverigedemokraterna",4.8
"0114 Upplands Väsby","övriga partier",1.3
"0114 Upplands Väsby","ogiltiga valsedlar",..
"0114 Upplands Väsby","ej röstande",..
"0115 Vallentuna","Moderaterna",44.5
"0115 Vallentuna","Centerpartiet",7.3
"0115 Vallentuna","Folkpartiet",8.7
"0115 Vallentuna","Kristdemokraterna",6.5
"0115 Vallentuna","Miljöpartiet",7.7
"0115 Vallentuna","Socialdemokraterna",16.9
"0115 Vallentuna","Vänsterpartiet",3.0
"0115 Vallentuna","Sverigedemokraterna",4.0
"0115 Vallentuna","övriga partier",1.4
"0115 Vallentuna","ogiltiga valsedlar",..
"0115 Vallentuna","ej röstande",..
"0117 Österåker","Moderaterna",45.5
"0117 Österåker","Centerpartiet",5.8
"0117 Österåker","Folkpartiet",9.2
"0117 Österåker","Kristdemokraterna",6.2
"0117 Österåker","Miljöpartiet",7.5
"0117 Österåker","Socialdemokraterna",17.8
"0117 Österåker","Vänsterpartiet",3.3
"0117 Österåker","Sverigedemokraterna",3.5
"0117 Österåker","övriga partier",1.2
"0117 Österåker","ogiltiga valsedlar",..
"0117 Österåker","ej röstande",..
"0120 Värmdö","Moderaterna",45.9
"0120 Värmdö","Centerpartiet",5.8
"0120 Värmdö","Folkpartiet",7.6
"0120 Värmdö","Kristdemokraterna",5.4
"0120 Värmdö","Miljöpartiet",8.6
"0120 Värmdö","Socialdemokraterna",17.6
"0120 Värmdö","Vänsterpartiet",3.6
"0120 Värmdö","Sverigedemokraterna",4.1
"0120 Värmdö","övriga partier",1.3
"0120 Värmdö","ogiltiga valsedlar",..
"0120 Värmdö","ej röstande",..
"0123 Järfälla","Moderaterna",36.4
"0123 Järfälla","Centerpartiet",4.2
"0123 Järfälla","Folkpartiet",8.4
"0123 Järfälla","Kristdemokraterna",6.0
"0123 Järfälla","Miljöpartiet",7.8
"0123 Järfälla","Socialdemokraterna",25.7
"0123 Järfälla","Vänsterpartiet",5.3
"0123 Järfälla","Sverigedemokraterna",4.8
"0123 Järfälla","övriga partier",1.4
"0123 Järfälla","ogiltiga valsedlar",..
"0123 Järfälla","ej röstande",..
"0125 Ekerö","Moderaterna",47.1
"0125 Ekerö","Centerpartiet",7.3
"0125 Ekerö","Folkpartiet",9.3
"0125 Ekerö","Kristdemokraterna",7.1
"0125 Ekerö","Miljöpartiet",8.2
"0125 Ekerö","Socialdemokraterna",13.2
"0125 Ekerö","Vänsterpartiet",3.2
"0125 Ekerö","Sverigedemokraterna",3.4
"0125 Ekerö","övriga partier",1.1
"0125 Ekerö","ogiltiga valsedlar",..
"0125 Ekerö","ej röstande",..
"0126 Huddinge","Moderaterna",38.7
"0126 Huddinge","Centerpartiet",4.4
"0126 Huddinge","Folkpartiet",7.7
"0126 Huddinge","Kristdemokraterna",5.2
"0126 Huddinge","Miljöpartiet",7.6
"0126 Huddinge","Socialdemokraterna",24.8
"0126 Huddinge","Vänsterpartiet",5.3
"0126 Huddinge","Sverigedemokraterna",4.8
"0126 Huddinge","övriga partier",1.5
"0126 Huddinge","ogiltiga valsedlar",..
"0126 Huddinge","ej röstande",..
"0127 Botkyrka","Moderaterna",30.0
"0127 Botkyrka","Centerpartiet",2.8
"0127 Botkyrka","Folkpartiet",6.2
"0127 Botkyrka","Kristdemokraterna",5.1
"0127 Botkyrka","Miljöpartiet",6.9
"0127 Botkyrka","Socialdemokraterna",35.7
"0127 Botkyrka","Vänsterpartiet",7.1
"0127 Botkyrka","Sverigedemokraterna",4.9
"0127 Botkyrka","övriga partier",1.4
"0127 Botkyrka","ogiltiga valsedlar",..
"0127 Botkyrka","ej röstande",..
"0128 Salem","Moderaterna",38.6
"0128 Salem","Centerpartiet",5.7
"0128 Salem","Folkpartiet",9.2
"0128 Salem","Kristdemokraterna",5.4
"0128 Salem","Miljöpartiet",7.8
"0128 Salem","Socialdemokraterna",22.6
"0128 Salem","Vänsterpartiet",4.0
"0128 Salem","Sverigedemokraterna",5.2
"0128 Salem","övriga partier",1.4
"0128 Salem","ogiltiga valsedlar",..
"0128 Salem","ej röstande",..
"0136 Haninge","Moderaterna",36.8
"0136 Haninge","Centerpartiet",3.9
"0136 Haninge","Folkpartiet",6.9
"0136 Haninge","Kristdemokraterna",4.5
"0136 Haninge","Miljöpartiet",7.3
"0136 Haninge","Socialdemokraterna",28.0
"0136 Haninge","Vänsterpartiet",5.0
"0136 Haninge","Sverigedemokraterna",5.7
"0136 Haninge","övriga partier",1.9
"0136 Haninge","ogiltiga valsedlar",..
"0136 Haninge","ej röstande",..
"0138 Tyresö","Moderaterna",42.2
"0138 Tyresö","Centerpartiet",4.8
"0138 Tyresö","Folkpartiet",8.4
"0138 Tyresö","Kristdemokraterna",5.5
"0138 Tyresö","Miljöpartiet",8.2
"0138 Tyresö","Socialdemokraterna",21.5
"0138 Tyresö","Vänsterpartiet",4.0
"0138 Tyresö","Sverigedemokraterna",4.1
"0138 Tyresö","övriga partier",1.3
"0138 Tyresö","ogiltiga valsedlar",..
"0138 Tyresö","ej röstande",..
"0139 Upplands-Bro","Moderaterna",35.1
"0139 Upplands-Bro","Centerpartiet",4.2
"0139 Upplands-Bro","Folkpartiet",8.2
"0139 Upplands-Bro","Kristdemokraterna",7.0
"0139 Upplands-Bro","Miljöpartiet",6.8
"0139 Upplands-Bro","Socialdemokraterna",27.7
"0139 Upplands-Bro","Vänsterpartiet",4.5
"0139 Upplands-Bro","Sverigedemokraterna",5.2
"0139 Upplands-Bro","övriga partier",1.4
"0139 Upplands-Bro","ogiltiga valsedlar",..
"0139 Upplands-Bro","ej röstande",..
"0140 Nykvarn","Moderaterna",41.7
"0140 Nykvarn","Centerpartiet",5.1
"0140 Nykvarn","Folkpartiet",6.9
"0140 Nykvarn","Kristdemokraterna",5.0
"0140 Nykvarn","Miljöpartiet",6.1
"0140 Nykvarn","Socialdemokraterna",23.9
"0140 Nykvarn","Vänsterpartiet",2.5
"0140 Nykvarn","Sverigedemokraterna",7.3
"0140 Nykvarn","övriga partier",1.5
"0140 Nykvarn","ogiltiga valsedlar",..
"0140 Nykvarn","ej röstande",..
"0160 Täby","Moderaterna",50.8
"0160 Täby","Centerpartiet",7.8
"0160 Täby","Folkpartiet",11.5
"0160 Täby","Kristdemokraterna",8.7
"0160 Täby","Miljöpartiet",5.2
"0160 Täby","Socialdemokraterna",10.7
"0160 Täby","Vänsterpartiet",1.9
"0160 Täby","Sverigedemokraterna",2.3
"0160 Täby","övriga partier",1.0
"0160 Täby","ogiltiga valsedlar",..
"0160 Täby","ej röstande",..
"0162 Danderyd","Moderaterna",52.1
"0162 Danderyd","Centerpartiet",11.1
"0162 Danderyd","Folkpartiet",10.1
"0162 Danderyd","Kristdemokraterna",13.3
"0162 Danderyd","Miljöpartiet",3.9
"0162 Danderyd","Socialdemokraterna",5.8
"0162 Danderyd","Vänsterpartiet",1.2
"0162 Danderyd","Sverigedemokraterna",1.7
"0162 Danderyd","övriga partier",0.8
"0162 Danderyd","ogiltiga valsedlar",..
"0162 Danderyd","ej röstande",..
"0163 Sollentuna","Moderaterna",42.2
"0163 Sollentuna","Centerpartiet",7.0
"0163 Sollentuna","Folkpartiet",9.8
"0163 Sollentuna","Kristdemokraterna",7.7
"0163 Sollentuna","Miljöpartiet",7.3
"0163 Sollentuna","Socialdemokraterna",17.8
"0163 Sollentuna","Vänsterpartiet",3.8
"0163 Sollentuna","Sverigedemokraterna",3.2
"0163 Sollentuna","övriga partier",1.3
"0163 Sollentuna","ogiltiga valsedlar",..
"0163 Sollentuna","ej röstande",..
"0180 Stockholm","Moderaterna",34.3
"0180 Stockholm","Centerpartiet",6.3
"0180 Stockholm","Folkpartiet",8.6
"0180 Stockholm","Kristdemokraterna",5.3
"0180 Stockholm","Miljöpartiet",12.2
"0180 Stockholm","Socialdemokraterna",20.9
"0180 Stockholm","Vänsterpartiet",7.4
"0180 Stockholm","Sverigedemokraterna",3.2
"0180 Stockholm","övriga partier",1.8
"0180 Stockholm","ogiltiga valsedlar",..
"0180 Stockholm","ej röstande",..
"0181 Södertälje","Moderaterna",29.5
"0181 Södertälje","Centerpartiet",3.9
"0181 Södertälje","Folkpartiet",6.2
"0181 Södertälje","Kristdemokraterna",5.4
"0181 Södertälje","Miljöpartiet",8.3
"0181 Södertälje","Socialdemokraterna",34.0
"0181 Södertälje","Vänsterpartiet",5.2
"0181 Södertälje","Sverigedemokraterna",5.6
"0181 Södertälje","övriga partier",2.0
"0181 Södertälje","ogiltiga valsedlar",..
"0181 Södertälje","ej röstande",..
"0182 Nacka","Moderaterna",44.0
"0182 Nacka","Centerpartiet",7.4
"0182 Nacka","Folkpartiet",9.0
"0182 Nacka","Kristdemokraterna",6.9
"0182 Nacka","Miljöpartiet",8.7
"0182 Nacka","Socialdemokraterna",16.0
"0182 Nacka","Vänsterpartiet",4.0
"0182 Nacka","Sverigedemokraterna",2.7
"0182 Nacka","övriga partier",1.3
"0182 Nacka","ogiltiga valsedlar",..
"0182 Nacka","ej röstande",..
"0183 Sundbyberg","Moderaterna",34.6
"0183 Sundbyberg","Centerpartiet",4.5
"0183 Sundbyberg","Folkpartiet",7.9
"0183 Sundbyberg","Kristdemokraterna",4.0
"0183 Sundbyberg","Miljöpartiet",9.9
"0183 Sundbyberg","Socialdemokraterna",25.9
"0183 Sundbyberg","Vänsterpartiet",6.9
"0183 Sundbyberg","Sverigedemokraterna",4.4
"0183 Sundbyberg","övriga partier",1.8
"0183 Sundbyberg","ogiltiga valsedlar",..
"0183 Sundbyberg","ej röstande",..
"0184 Solna","Moderaterna",38.1
"0184 Solna","Centerpartiet",5.8
"0184 Solna","Folkpartiet",9.1
"0184 Solna","Kristdemokraterna",5.4
"0184 Solna","Miljöpartiet",10.0
"0184 Solna","Socialdemokraterna",20.6
"0184 Solna","Vänsterpartiet",6.1
"0184 Solna","Sverigedemokraterna",3.4
"0184 Solna","övriga partier",1.6
"0184 Solna","ogiltiga valsedlar",..
"0184 Solna","ej röstande",..
"0186 Lidingö","Moderaterna",48.7
"0186 Lidingö","Centerpartiet",10.1
"0186 Lidingö","Folkpartiet",10.7
"0186 Lidingö","Kristdemokraterna",10.0
"0186 Lidingö","Miljöpartiet",5.7
"0186 Lidingö","Socialdemokraterna",9.2
"0186 Lidingö","Vänsterpartiet",1.9
"0186 Lidingö","Sverigedemokraterna",2.7
"0186 Lidingö","övriga partier",0.9
"0186 Lidingö","ogiltiga valsedlar",..
"0186 Lidingö","ej röstande",..
"0187 Vaxholm","Moderaterna",48.5
"0187 Vaxholm","Centerpartiet",8.5
"0187 Vaxholm","Folkpartiet",9.3
"0187 Vaxholm","Kristdemokraterna",6.9
"0187 Vaxholm","Miljöpartiet",7.6
"0187 Vaxholm","Socialdemokraterna",12.4
"0187 Vaxholm","Vänsterpartiet",3.0
"0187 Vaxholm","Sverigedemokraterna",2.7
"0187 Vaxholm","övriga partier",1.2
"0187 Vaxholm","ogiltiga valsedlar",..
"0187 Vaxholm","ej röstande",..
"0188 Norrtälje","Moderaterna",36.1
"0188 Norrtälje","Centerpartiet",8.0
"0188 Norrtälje","Folkpartiet",6.6
"0188 Norrtälje","Kristdemokraterna",4.9
"0188 Norrtälje","Miljöpartiet",7.2
"0188 Norrtälje","Socialdemokraterna",26.5
"0188 Norrtälje","Vänsterpartiet",4.5
"0188 Norrtälje","Sverigedemokraterna",5.0
"0188 Norrtälje","övriga partier",1.3
"0188 Norrtälje","ogiltiga valsedlar",..
"0188 Norrtälje","ej röstande",..
"0191 Sigtuna","Moderaterna",38.2
"0191 Sigtuna","Centerpartiet",4.5
"0191 Sigtuna","Folkpartiet",7.1
"0191 Sigtuna","Kristdemokraterna",5.9
"0191 Sigtuna","Miljöpartiet",6.3
"0191 Sigtuna","Socialdemokraterna",27.9
"0191 Sigtuna","Vänsterpartiet",3.8
"0191 Sigtuna","Sverigedemokraterna",5.0
"0191 Sigtuna","övriga partier",1.2
"0191 Sigtuna","ogiltiga valsedlar",..
"0191 Sigtuna","ej röstande",..
"0192 Nynäshamn","Moderaterna",35.0
"0192 Nynäshamn","Centerpartiet",4.5
"0192 Nynäshamn","Folkpartiet",6.3
"0192 Nynäshamn","Kristdemokraterna",4.8
"0192 Nynäshamn","Miljöpartiet",7.2
"0192 Nynäshamn","Socialdemokraterna",29.3
"0192 Nynäshamn","Vänsterpartiet",5.4
"0192 Nynäshamn","Sverigedemokraterna",6.1
"0192 Nynäshamn","övriga partier",1.4
"0192 Nynäshamn","ogiltiga valsedlar",..
"0192 Nynäshamn","ej röstande",..
"0305 Håbo","Moderaterna",42.6
"0305 Håbo","Centerpartiet",5.0
"0305 Håbo","Folkpartiet",7.2
"0305 Håbo","Kristdemokraterna",4.7
"0305 Håbo","Miljöpartiet",5.5
"0305 Håbo","Socialdemokraterna",24.9
"0305 Håbo","Vänsterpartiet",3.1
"0305 Håbo","Sverigedemokraterna",5.9
"0305 Håbo","övriga partier",1.1
"0305 Håbo","ogiltiga valsedlar",..
"0305 Håbo","ej röstande",..
"0319 Älvkarleby","Moderaterna",19.3
"0319 Älvkarleby","Centerpartiet",3.2
"0319 Älvkarleby","Folkpartiet",5.0
"0319 Älvkarleby","Kristdemokraterna",2.5
"0319 Älvkarleby","Miljöpartiet",5.2
"0319 Älvkarleby","Socialdemokraterna",48.9
"0319 Älvkarleby","Vänsterpartiet",6.8
"0319 Älvkarleby","Sverigedemokraterna",7.9
"0319 Älvkarleby","övriga partier",1.0
"0319 Älvkarleby","ogiltiga valsedlar",..
"0319 Älvkarleby","ej röstande",..
"0330 Knivsta","Moderaterna",38.2
"0330 Knivsta","Centerpartiet",9.2
"0330 Knivsta","Folkpartiet",9.5
"0330 Knivsta","Kristdemokraterna",7.1
"0330 Knivsta","Miljöpartiet",7.4
"0330 Knivsta","Socialdemokraterna",19.2
"0330 Knivsta","Vänsterpartiet",3.5
"0330 Knivsta","Sverigedemokraterna",4.4
"0330 Knivsta","övriga partier",1.4
"0330 Knivsta","ogiltiga valsedlar",..
"0330 Knivsta","ej röstande",..
"0331 Heby","Moderaterna",23.8
"0331 Heby","Centerpartiet",14.4
"0331 Heby","Folkpartiet",5.2
"0331 Heby","Kristdemokraterna",5.5
"0331 Heby","Miljöpartiet",4.3
"0331 Heby","Socialdemokraterna",33.9
"0331 Heby","Vänsterpartiet",4.8
"0331 Heby","Sverigedemokraterna",6.9
"0331 Heby","övriga partier",1.3
"0331 Heby","ogiltiga valsedlar",..
"0331 Heby","ej röstande",..
"0360 Tierp","Moderaterna",20.6
"0360 Tierp","Centerpartiet",10.4
"0360 Tierp","Folkpartiet",4.6
"0360 Tierp","Kristdemokraterna",3.6
"0360 Tierp","Miljöpartiet",4.7
"0360 Tierp","Socialdemokraterna",42.9
"0360 Tierp","Vänsterpartiet",5.3
"0360 Tierp","Sverigedemokraterna",6.3
"0360 Tierp","övriga partier",1.6
"0360 Tierp","ogiltiga valsedlar",..
"0360 Tierp","ej röstande",..
"0380 Uppsala","Moderaterna",29.5
"0380 Uppsala","Centerpartiet",7.6
"0380 Uppsala","Folkpartiet",9.1
"0380 Uppsala","Kristdemokraterna",6.4
"0380 Uppsala","Miljöpartiet",11.2
"0380 Uppsala","Socialdemokraterna",24.0
"0380 Uppsala","Vänsterpartiet",6.4
"0380 Uppsala","Sverigedemokraterna",3.8
"0380 Uppsala","övriga partier",2.0
"0380 Uppsala","ogiltiga valsedlar",..
"0380 Uppsala","ej röstande",..
"0381 Enköping","Moderaterna",34.8
"0381 Enköping","Centerpartiet",10.0
"0381 Enköping","Folkpartiet",5.3
"0381 Enköping","Kristdemokraterna",4.6
"0381 Enköping","Miljöpartiet",6.0
"0381 Enköping","Socialdemokraterna",29.1
"0381 Enköping","Vänsterpartiet",3.6
"0381 Enköping","Sverigedemokraterna",5.4
"0381 Enköping","övriga partier",1.1
"0381 Enköping","ogiltiga valsedlar",..
"0381 Enköping","ej röstande",..
"0382 Östhammar","Moderaterna",28.2
"0382 Östhammar","Centerpartiet",10.7
"0382 Östhammar","Folkpartiet",5.8
"0382 Östhammar","Kristdemokraterna",4.2
"0382 Östhammar","Miljöpartiet",4.4
"0382 Östhammar","Socialdemokraterna",35.3
"0382 Östhammar","Vänsterpartiet",4.5
"0382 Östhammar","Sverigedemokraterna",5.5
"0382 Östhammar","övriga partier",1.3
"0382 Östhammar","ogiltiga valsedlar",..
"0382 Östhammar","ej röstande",..
"0428 Vingåker","Moderaterna",24.1
"0428 Vingåker","Centerpartiet",6.9
"0428 Vingåker","Folkpartiet",4.1
"0428 Vingåker","Kristdemokraterna",4.7
"0428 Vingåker","Miljöpartiet",6.5
"0428 Vingåker","Socialdemokraterna",41.5
"0428 Vingåker","Vänsterpartiet",4.1
"0428 Vingåker","Sverigedemokraterna",7.3
"0428 Vingåker","övriga partier",0.9
"0428 Vingåker","ogiltiga valsedlar",..
"0428 Vingåker","ej röstande",..
"0461 Gnesta","Moderaterna",29.5
"0461 Gnesta","Centerpartiet",8.9
"0461 Gnesta","Folkpartiet",5.8
